IR_value,BPM,AvgBPM
123939,76.82,56
123743,76.82,56
123648,39.45,59
0,39.45,59
0,93.6,58
123622,106.95,66
123784,106.95,66
124015,106.95,66
124093,106.95,66
0,69.77,73
124047,69.69,84
123977,69.69,78
124014,76.82,70
0,78.84,75
123598,85.59,81
121568,85.59,81
121481,32.93,69
121366,48.31,61
0,130.43,73
0,130.43,73
714,130.43,73
819,130.43,73
808,11.66,73
812,11.66,73
809,11.66,73
803,11.66,73
784,11.66,73
798,11.66,73
0,11.66,73
801,11.66,73
794,11.66,73
792,11.66,73
786,11.66,73
787,11.66,73
0,11.66,73
0,11.66,73
791,3.87,73
784,3.87,73
784,3.87,73
791,3.87,73
779,3.87,73
778,3.87,73
782,3.87,73
782,3.87,73
779,3.87,73
786,3.87,73
780,3.87,73
779,3.87,73
792,3.87,73
784,3.87,73
781,3.87,73
777,3.87,73
782,3.87,73
777,3.87,73
776,3.87,73
779,3.87,73
783,3.87,73
786,3.87,73
788,3.87,73
789,3.87,73
797,3.87,73
785,3.87,73
788,3.87,73
792,3.87,73
789,3.87,73
788,3.87,73
787,3.87,73
787,3.87,73
786,3.87,73
783,3.87,73
785,3.87,73
793,1.6,73
786,1.6,73
785,1.6,73
783,1.6,73
784,1.6,73
780,10.09,73
785,10.09,73
789,28.01,59
778,28.01,59
779,28.01,59
785,28.01,59
792,28.01,59
17761,9.73,59
135801,9.73,59
135529,9.73,59
134982,9.73,59
134435,9.73,59
134144,12.75,59
134127,41.64,61
133942,41.64,61
133021,31.22,57
130621,31.22,57
128486,31.22,57
127956,31.22,57
128139,11.99,57
127757,11.99,57
128742,28.26,32
127526,28.26,32
127393,28.26,32
0,28.26,32
127246,14.07,32
128157,76.82,44
127425,76.82,44
126868,76.82,44
126523,76.82,44
126512,76.82,44
126654,142.86,69
127074,142.86,69
0,142.86,69
127265,16.56,69
127291,63.76,77
127100,78.84,90
127011,78.95,74
0,80.97,79
127059,107.14,77
614,107.14,77
555,107.14,77
0,107.14,77
1715,107.14,77
1721,107.14,77
1721,107.14,77
1724,107.14,77
1728,107.14,77
0,107.14,77
1740,5.49,77
1757,5.49,77
1761,5.49,77
1752,5.49,77
1747,5.49,77
1752,5.49,77
0,5.49,77
0,5.49,77
1780,5.49,77
1771,5.49,77
1778,5.49,77
1777,5.49,77
1772,5.49,77
1788,5.49,77
1759,5.49,77
0,3.72,77
1761,41.64,67
1757,41.64,67
1733,41.64,67
1725,41.64,67
1756,41.64,67
1739,11.53,67
1740,11.53,67
1745,11.53,67
1746,11.53,67
1750,11.53,67
1757,11.53,67
1756,11.53,67
1763,11.53,67
1754,11.53,67
1766,11.53,67
1765,11.53,67
1758,11.53,67
1763,11.53,67
1768,11.53,67
1773,11.53,67
1774,11.53,67
1779,3.47,67
1772,3.47,67
1769,3.47,67
1768,3.47,67
1768,3.47,67
1780,3.47,67
1783,3.47,67
1777,3.47,67
1770,3.47,67
1783,3.47,67
1771,3.47,67
1777,3.47,67
1782,3.47,67
1781,3.47,67
1788,3.47,67
1776,3.47,67
1778,3.47,67
1783,3.47,67
1778,3.47,67
1770,3.47,67
1773,3.47,67
1772,3.47,67
1784,3.47,67
1775,3.47,67
1774,3.47,67
1776,3.47,67
1779,3.47,67
1782,3.47,67
1772,3.47,67
1792,3.47,67
1773,3.47,67
1788,3.47,67
1783,3.47,67
1793,3.47,67
1783,3.47,67
1792,3.47,67
1786,3.47,67
1787,3.47,67
1795,3.47,67
1791,3.47,67
1785,3.47,67
1783,3.47,67
1783,3.47,67
1788,3.47,67
1791,3.47,67
1798,3.47,67
1789,3.47,67
1784,3.47,67
1791,3.47,67
1796,3.47,67
1792,3.47,67
1789,3.47,67
1790,3.47,67
1798,3.47,67
1793,3.47,67
1784,3.47,67
1790,3.47,67
